apps,bytes,time,mbytes-sec
intel,16,10.61,1.51
intel,32,8.62,3.71
intel,64,9.53,6.71
intel,128,9.32,13.73
intel,256,9.70,26.39
intel,512,9.26,55.31
intel,1024,10.96,93.44
intel,2048,10.20,200.87
intel,4096,11.69,350.25
intel,8192,12.15,674.13
intel,16384,16.17,1013.46
intel,32768,25.76,1272.18
intel,65536,57.37,1142.39
intel,131072,71.48,1833.76
intel,262144,104.02,2520.06
intel,524288,161.69,3242.50
intel,1048576,291.97,3591.44
intel,2097152,769.10,2726.75
intel,4194304,1080.22,3882.81
intel,0,9.36,0.00
intel,1,9.40,0.11
intel,2,8.99,0.22
intel,4,8.98,0.45
intel,8,8.90,0.90
intel,16,10.36,1.54
intel,32,8.97,3.57
intel,64,9.22,6.94
intel,128,9.04,14.16
intel,256,10.52,24.32
intel,512,9.06,56.48
intel,1024,9.23,110.96
intel,2048,9.86,207.62
intel,4096,11.67,351.03
intel,8192,12.51,654.85
intel,16384,16.94,967.00
intel,32768,25.84,1268.01
intel,65536,57.52,1139.33
intel,131072,71.56,1831.63
intel,262144,103.36,2536.33
intel,524288,165.32,3171.45
intel,1048576,294.68,3558.31
intel,2097152,528.97,3964.59
intel,4194304,1123.41,3733.53
intel,0,12.44,0.00
intel,1,10.32,0.10
intel,2,9.04,0.22
intel,4,9.08,0.44
intel,8,8.90,0.90
intel,16,8.92,1.79
intel,32,9.18,3.48
intel,64,9.37,6.83
intel,128,9.11,14.06
intel,256,9.33,27.45
intel,512,9.31,54.99
intel,1024,9.71,105.41
intel,2048,9.94,206.05
intel,4096,11.72,349.42
intel,8192,12.65,647.35
intel,16384,16.42,997.56
intel,32768,26.38,1241.95
intel,65536,57.97,1130.60
intel,131072,84.84,1544.96
intel,262144,103.73,2527.14
intel,524288,166.88,3141.62
intel,1048576,305.94,3427.44
intel,2097152,533.65,3929.82
intel,4194304,1092.45,3839.36
intel,0,8.73,0.00
intel,1,9.60,0.10
intel,2,8.72,0.23
intel,4,8.83,0.45
intel,8,8.60,0.93
intel,16,8.85,1.81
intel,32,8.88,3.60
intel,64,11.69,5.48
intel,128,8.51,15.03
intel,256,13.88,18.45
intel,512,9.17,55.83
intel,1024,8.98,114.03
intel,2048,10.12,202.40
intel,4096,11.70,349.95
intel,8192,12.55,652.94
intel,16384,17.05,961.02
intel,32768,25.38,1291.15
intel,65536,59.68,1098.07
intel,131072,74.93,1749.32
intel,262144,102.18,2565.41
intel,524288,166.20,3154.64
intel,1048576,339.13,3091.93
intel,2097152,543.03,3861.95
intel,4194304,1100.26,3812.09
intel,0,8.39,0.00
intel,1,9.30,0.11
intel,2,9.27,0.22
intel,4,9.47,0.42
intel,8,9.26,0.86
intel,16,8.73,1.83
intel,32,9.00,3.56
intel,64,9.35,6.84
intel,128,9.30,13.76
intel,256,9.13,28.04
intel,512,9.08,56.40
intel,1024,11.88,86.17
intel,2048,9.98,205.12
intel,4096,12.35,331.57
intel,8192,12.49,655.68
intel,16384,16.78,976.54
intel,32768,25.57,1281.60
intel,65536,58.98,1111.11
intel,131072,72.26,1813.83
intel,262144,112.29,2334.45
intel,524288,168.30,3115.22
intel,1048576,296.12,3541.02
intel,2097152,552.18,3797.92
intel,4194304,1108.31,3784.40
intel,0,8.83,0.00
intel,1,8.54,0.12
intel,2,10.99,0.18
intel,4,9.29,0.43
intel,8,8.84,0.91
intel,16,8.82,1.81
intel,32,9.27,3.45
intel,64,9.51,6.73
intel,128,9.19,13.93
intel,256,11.18,22.90
intel,512,9.50,53.91
intel,1024,9.26,110.60
intel,2048,10.32,198.39
intel,4096,11.74,348.85
intel,8192,12.14,674.79
intel,16384,16.18,1012.89
intel,32768,25.60,1279.83
intel,65536,57.33,1143.18
intel,131072,75.89,1727.03
intel,262144,101.54,2581.57
intel,524288,172.35,3042.08
intel,1048576,309.89,3383.75
intel,2097152,532.97,3934.87
intel,4194304,1137.76,3686.46
