apps,interface,time
exec_ft,ipoib,168.35
exec_lu,ipoib,277.82
exec_imb_CPU,ipoib,8.6773
exec_mg,ib,33.20
exec_imb_CPU,eth,8.6449
exec_ft,eth,1583.35
exec_alya,ib,256.64
exec_is,ipoib,15.33
exec_ft,ib,143.17
exec_lu,ib,222.91
exec_imb_memory,ipoib,25.8605
exec_ep,ib,37.13
exec_alya,ib,252.96
exec_cg,eth,769.77
exec_ep,ib,37.71
exec_cg,ipoib,179.62
exec_bt,ib,374.08
exec_is,ib,10.68
exec_mg,ipoib,33.86
exec_lu,eth,306.17
exec_ft,ipoib,176.42
exec_is,ipoib,14.81
exec_bt,ipoib,541.72
exec_imb_CPU,ipoib,8.7031
exec_mg,eth,85.19
exec_ft,ib,143.92
exec_imb_memory,ipoib,25.7880
exec_sp,ipoib,529.08
exec_ft,eth,1583.48
exec_imb_CPU,eth,8.6289
exec_imb_memory,ib,25.1824
exec_alya,eth,297.27
exec_alya,ipoib,281.02
exec_lu,ib,223.41
exec_sp,eth,797.92
exec_mg,ib,34.43
exec_is,eth,151.39
exec_ep,eth,37.36
exec_ep,ipoib,37.22
exec_sp,ib,451.25
exec_lu,ipoib,278.69
exec_cg,ib,182.31
exec_imb_memory,eth,26.7818
exec_imb_CPU,ib,8.6841
exec_bt,eth,506.41
exec_lu,ipoib,270.62
exec_alya,ipoib,280.65
exec_lu,eth,311.39
exec_imb_CPU,ib,9.0743
exec_bt,eth,504.69
exec_lu,ib,223.70
exec_imb_memory,ipoib,26.7482
exec_bt,ib,380.10
exec_sp,ipoib,513.93
exec_ep,ipoib,37.22
exec_sp,eth,802.99
exec_alya,eth,297.31
exec_imb_memory,eth,27.1058
exec_ft,ipoib,180.40
exec_mg,ipoib,33.35
exec_imb_CPU,eth,9.0435
exec_ft,eth,1583.44
exec_bt,ipoib,538.76
exec_mg,ib,35.55
exec_imb_CPU,ipoib,8.6667
exec_cg,ipoib,180.51
exec_sp,ib,450.84
exec_ft,ib,143.17
exec_is,ipoib,15.47
exec_ep,ib,37.41
exec_is,eth,151.19
exec_cg,eth,768.07
exec_ep,eth,37.28
exec_imb_memory,ib,27.1554
exec_is,ib,10.45
exec_alya,ib,252.68
exec_cg,ib,182.29
exec_mg,eth,86.24
exec_ep,eth,37.30
exec_alya,ipoib,280.38
exec_imb_CPU,eth,8.5338
exec_ft,ipoib,166.39
exec_mg,ipoib,34.44
exec_alya,eth,295.08
exec_sp,eth,798.77
exec_ep,ib,37.24
exec_ep,ipoib,37.33
exec_imb_memory,eth,26.2228
exec_is,eth,151.27
exec_is,ib,10.51
exec_lu,eth,305.57
exec_lu,ib,223.64
exec_bt,ipoib,541.11
exec_lu,ipoib,272.55
exec_bt,ib,373.16
exec_cg,eth,768.67
exec_ft,eth,1581.95
exec_is,ipoib,14.13
exec_alya,ib,252.60
exec_imb_memory,ipoib,25.1853
exec_sp,ipoib,519.30
exec_ft,ib,143.55
exec_sp,ib,453.29
exec_imb_CPU,ib,8.6667
exec_imb_memory,ib,27.2186
exec_mg,eth,85.39
exec_imb_CPU,ipoib,9.7736
exec_mg,ib,35.20
exec_cg,ipoib,180.98
exec_cg,ib,182.01
exec_bt,eth,507.08
exec_ft,eth,1584.01
exec_bt,ipoib,542.72
exec_imb_memory,ib,27.1762
exec_ft,ipoib,164.16
exec_cg,ipoib,180.47
exec_imb_CPU,ipoib,8.7093
exec_bt,ib,381.52
exec_mg,ib,34.65
exec_is,eth,151.23
exec_imb_CPU,eth,8.6542
exec_is,ib,10.26
exec_cg,eth,768.55
exec_sp,ipoib,520.56
exec_lu,ipoib,273.45
exec_imb_memory,ipoib,27.1765
exec_ep,ib,36.99
exec_is,ipoib,13.91
exec_ep,ipoib,37.39
exec_ep,eth,37.29
exec_imb_CPU,ib,9.9060
exec_alya,ib,253.92
exec_alya,ipoib,278.10
exec_ft,ib,143.60
exec_mg,ipoib,34.26
exec_sp,eth,804.01
exec_cg,ib,183.10
exec_mg,eth,85.60
exec_imb_memory,eth,25.3377
exec_lu,eth,302.88
exec_sp,ib,454.53
exec_bt,eth,504.38
exec_lu,ib,225.00
exec_alya,eth,296.13
exec_ep,eth,37.18
exec_alya,eth,296.06
exec_imb_CPU,eth,8.7087
exec_sp,eth,799.72
exec_ft,eth,1586.09
exec_imb_memory,ipoib,25.8838
exec_bt,ib,381.34
exec_cg,ipoib,179.51
exec_lu,ipoib,275.05
exec_alya,ipoib,295.17
exec_is,ipoib,14.99
exec_is,ib,10.29
exec_ft,ib,143.36
exec_cg,eth,769.77
exec_mg,eth,86.35
exec_sp,ipoib,520.79
exec_ep,ipoib,37.29
exec_ep,ib,37.11
exec_is,eth,151.13
exec_mg,ipoib,33.55
exec_ft,ipoib,163.68
exec_alya,ib,252.93
exec_imb_CPU,ipoib,8.7101
exec_lu,ib,223.25
exec_cg,ib,181.74
exec_imb_memory,ib,25.7717
exec_lu,eth,302.85
exec_imb_CPU,ib,8.6739
exec_mg,ib,35.13
exec_bt,ipoib,537.50
exec_sp,ib,445.84
exec_bt,eth,504.71
exec_imb_memory,eth,26.4005
exec_cg,ipoib,180.56
exec_imb_CPU,eth,9.0414
exec_lu,ipoib,267.94
exec_bt,ib,380.33
exec_bt,ipoib,540.34
exec_alya,eth,295.10
exec_lu,ib,224.08
exec_sp,ib,454.74
exec_ft,ib,142.88
exec_is,eth,151.24
exec_ep,ib,37.84
exec_mg,ib,34.81
exec_bt,eth,506.23
exec_imb_memory,eth,25.2343
exec_sp,ipoib,513.22
exec_ft,eth,1583.78
exec_mg,eth,83.60
exec_imb_CPU,ib,8.7208
exec_lu,eth,312.87
exec_ep,ipoib,37.20
exec_alya,ib,252.03
exec_cg,ib,182.51
exec_imb_CPU,ipoib,8.9308
exec_ft,ipoib,172.43
exec_imb_memory,ib,29.3100
exec_mg,ipoib,34.54
exec_cg,eth,769.57
exec_is,ib,10.27
exec_ep,eth,37.23
exec_alya,ipoib,283.88
exec_is,ipoib,14.70
exec_imb_memory,ipoib,26.8317
exec_sp,eth,800.48
exec_sp,eth,807.29
exec_lu,ipoib,275.82
exec_is,ib,10.45
exec_ep,ipoib,37.38
exec_cg,ipoib,181.84
exec_bt,eth,506.96
exec_is,ipoib,14.43
exec_imb_memory,eth,26.2517
exec_alya,ipoib,280.89
exec_alya,eth,296.45
exec_imb_CPU,eth,8.6251
exec_mg,eth,82.80
exec_sp,ib,468.67
exec_bt,ipoib,540.52
exec_imb_CPU,ib,8.9712
exec_is,eth,151.30
exec_alya,ib,251.11
exec_cg,eth,768.20
exec_imb_CPU,ipoib,8.6684
exec_bt,ib,374.53
exec_ft,eth,1583.57
exec_mg,ib,35.26
exec_imb_memory,ib,25.4553
