apps,interface,bytes,time,mbytes-sec
exec_intel,eth,512,6.10,83.95
exec_intel,eth,1024,6.34,161.45
exec_intel,eth,2048,6.71,305.34
exec_intel,eth,4096,7.83,523.41
exec_intel,eth,8192,8.47,967.31
exec_intel,eth,16384,11.19,1464.82
exec_intel,eth,32768,18.45,1776.26
exec_intel,eth,65536,37.44,1750.51
exec_intel,eth,131072,51.65,2537.46
exec_intel,eth,262144,74.28,3529.18
exec_intel,eth,524288,118.77,4414.40
exec_intel,eth,1048576,210.71,4976.33
exec_intel,eth,2097152,394.11,5321.20
exec_intel,eth,4194304,794.25,5280.81
exec_intel,ipoib,0,7.03,0.00
exec_intel,ipoib,1,6.78,0.15
exec_intel,ipoib,2,6.98,0.29
exec_intel,ipoib,4,7.01,0.57
exec_intel,ipoib,8,6.69,1.20
exec_intel,ipoib,16,6.44,2.49
exec_intel,ipoib,32,6.24,5.13
exec_intel,ipoib,64,6.19,10.34
exec_intel,ipoib,128,6.10,20.98
exec_intel,ipoib,256,6.11,41.90
exec_intel,ipoib,512,6.08,84.14
exec_intel,ipoib,1024,5.97,171.42
exec_intel,ipoib,2048,6.73,304.43
exec_intel,ipoib,4096,7.60,539.14
exec_intel,ipoib,8192,8.23,995.87
exec_intel,ipoib,16384,11.31,1449.02
exec_intel,ipoib,32768,18.70,1751.86
exec_intel,ipoib,65536,37.42,1751.47
exec_intel,ipoib,131072,51.11,2564.37
exec_intel,ipoib,262144,74.08,3538.80
exec_intel,ipoib,524288,118.12,4438.57
exec_intel,ipoib,1048576,210.15,4989.74
exec_intel,ipoib,2097152,395.35,5304.57
exec_intel,ipoib,4194304,783.29,5354.73
exec_intel,eth,0,7.10,0.00
exec_intel,eth,1,7.24,0.14
exec_intel,eth,2,7.09,0.28
exec_intel,eth,4,7.02,0.57
exec_intel,eth,8,6.73,1.19
exec_intel,eth,16,6.51,2.46
exec_intel,eth,32,6.34,5.05
exec_intel,eth,64,6.22,10.30
exec_intel,eth,128,6.16,20.78
exec_intel,eth,256,6.10,41.98
exec_intel,eth,512,6.06,84.53
exec_intel,eth,1024,6.12,167.42
exec_intel,eth,2048,6.68,306.81
exec_intel,eth,4096,8.01,511.49
exec_intel,eth,8192,8.56,957.56
exec_intel,eth,16384,11.25,1456.91
exec_intel,eth,32768,18.47,1773.74
exec_intel,eth,65536,37.58,1743.88
exec_intel,eth,131072,51.07,2566.74
exec_intel,eth,262144,73.60,3561.75
exec_intel,eth,524288,120.72,4343.00
exec_intel,eth,1048576,208.19,5036.57
exec_intel,eth,2097152,387.22,5415.98
exec_intel,eth,4194304,786.22,5334.77
exec_intel,ib,0,1.14,0.00
exec_intel,ib,1,1.17,0.85
exec_intel,ib,2,1.34,1.49
exec_intel,ib,4,1.23,3.24
exec_intel,ib,8,1.22,6.58
exec_intel,ib,16,1.23,12.98
exec_intel,ib,32,1.22,26.14
exec_intel,ib,64,1.32,48.56
exec_intel,ib,128,1.90,67.26
exec_intel,ib,256,2.06,124.20
exec_intel,ib,512,2.20,232.24
exec_intel,ib,1024,2.50,409.61
exec_intel,ib,2048,3.03,676.97
exec_intel,ib,4096,4.23,969.09
exec_intel,ib,8192,5.86,1397.45
exec_intel,ib,16384,6.52,2514.38
exec_intel,ib,32768,8.47,3867.55
exec_intel,ib,65536,12.54,5227.32
exec_intel,ib,131072,20.82,6296.25
exec_intel,ib,262144,37.63,6965.99
exec_intel,ib,524288,71.18,7365.84
exec_intel,ib,1048576,137.34,7634.77
exec_intel,ib,2097152,270.70,7747.20
exec_intel,ib,4194304,538.21,7793.01
exec_intel,ipoib,0,6.45,0.00
exec_intel,ipoib,1,5.94,0.17
exec_intel,ipoib,2,5.66,0.35
exec_intel,ipoib,4,5.65,0.71
exec_intel,ipoib,8,5.65,1.42
exec_intel,ipoib,16,5.62,2.84
exec_intel,ipoib,32,5.62,5.69
exec_intel,ipoib,64,5.67,11.28
exec_intel,ipoib,128,5.73,22.35
exec_intel,ipoib,256,5.80,44.15
exec_intel,ipoib,512,5.83,87.76
exec_intel,ipoib,1024,5.93,172.65
exec_intel,ipoib,2048,6.63,308.97
exec_intel,ipoib,4096,7.82,523.80
exec_intel,ipoib,8192,8.40,975.01
exec_intel,ipoib,16384,11.14,1470.48
exec_intel,ipoib,32768,17.95,1825.01
exec_intel,ipoib,65536,37.17,1763.24
exec_intel,ipoib,131072,50.72,2583.98
exec_intel,ipoib,262144,73.55,3564.35
exec_intel,ipoib,524288,119.10,4401.94
exec_intel,ipoib,1048576,208.90,5019.48
exec_intel,ipoib,2097152,390.84,5365.77
exec_intel,ipoib,4194304,789.95,5309.55
exec_intel,ib,0,1.17,0.00
exec_intel,ib,1,1.19,0.84
exec_intel,ib,2,1.21,1.65
exec_intel,ib,4,1.15,3.49
exec_intel,ib,8,1.15,6.98
exec_intel,ib,16,1.17,13.64
